Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	
98	JN162083	AL_Africa-3	Africa-3	ZAF	South Africa	-	2008	2008	2008	591	31-Dec-12	31-Dec-12	-	-	116-08	South Africa	unchanged	-	unchanged	2008	unchanged	2008	unchanged	2008	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
10	AF079919	AL_Africa-3	Africa-3	-	-	-	-	-	1999	589	16-Jun-99	21-Mar-05	-	15763147	j158	South Africa	filled in	Ventersburg	filled in	1991	filled in	1991	filled in	1991	updated	Canis mesomelas	filled in		no	no	15763147	unchanged	
11	AF079920	AL_Africa-3	Africa-3	-	-	-	-	-	1999	589	16-Jun-99	21-Mar-05	-	15763147	b256	South Africa	filled in	Niekerkshoop	filled in	1990	filled in	1990	filled in	1990	updated	Otocyon megalotis	filled in		no	no	15763147	unchanged	
23	AF079932	AL_Africa-3	Africa-3	-	-	-	-	-	1999	589	16-Jun-99	09-Jun-99	-	-	j701	South Africa	filled in	Albany	filled in	1992	filled in	1992	filled in	1992	updated	Canis mesomelas	filled in		no	no	15763147	filled in	
25	AF079934	AL_Africa-3	Africa-3	-	-	-	-	-	1999	588	16-Jun-99	09-Jun-99	-	-	ati668	South Africa	filled in	Albert	filled in	1992	filled in	1992	filled in	1992	updated	Atilax paludinosus	filled in		no	no	15763147	filled in	
36	AY103011	AL_Africa-3	Africa-3	-	-	-	-	-	2002	360	30-Nov-02	24-Jul-16	-	12423699	Rv420	South Africa	filled in	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Cynictis penicillata	filled in		no	no	12423699	unchanged	
1	AF074818	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	1999	290	14-Sep-99	03-Oct-00	-	10872870	m710	South Africa	unchanged	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	Viverridae	filled in	Viverrid	no	no	10872870	unchanged	Viverrid
2	AF074819	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	1999	290	14-Sep-99	03-Oct-00	-	10872870	m420	South Africa	unchanged	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	Viverridae	filled in	Viverrid	no	no	10872870	unchanged	Viverrid
3	AF074820	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	1999	290	14-Sep-99	03-Oct-00	-	10872870	290	South Africa	unchanged	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	Viverridae	filled in	Viverrid	no	no	10872870	unchanged	Viverrid
4	AF074821	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	1999	290	14-Sep-99	03-Oct-00	-	10872870	810	South Africa	unchanged	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	Viverridae	filled in	Viverrid	no	no	10872870	unchanged	Viverrid
