sequenceID	updated_host	iso_source	minor_clade	major_clade	collection_month	collection_month_day	collection_year	vaccine_strain	isolate
JX648543	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERPASBV14803-06
JX648394	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERPASBV25193-05
JX648395	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERPASBV27761-05
JX648417	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERPASBV43903-03
JX648544	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERPASBV5714-06
JX648397	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERSMABV1209567-07
JX648401	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERSMABV14677-04
JX648427	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERSMABV18452-02
JX648399	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERSMABV1897-06
JX648398	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERSMABV1898-06
JX648412	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERSMABV33299-02
JX648413	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERSMABV33842-02
JX648431	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERSMABV54395-04
JX648423	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERSMABV8429-07
DQ105955	Bos taurus	cow brain	AL1a	Arctic	-	-	-	-	R122
DQ105958	Bos taurus	cow brain	AL1a	Arctic	-	-	-	-	R135
DQ105964	Bos taurus	cow brain	SEA1a	Indian-Sub	-	-	-	-	R155
AY561810	Bos taurus	cow; Mephitis mephitis	-	RAC-SK	-	-	-	-	3291chihbv99
DQ991126	Bos taurus	infected brain from cattle	AL1a	Arctic	-	-	2006	-	NIMMB10
DQ991118	Bos taurus	infected brain from cattle	AL1a	Arctic	-	-	2005	-	NIMMB2
DQ280334	Bos taurus	infected cow brain	-	Arctic	-	-	-	-	-
AB041969	Bubalus bubalis	water buffalo	-	Indian-Sub	-	-	-	-	SRL1145
EU590030	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog0187/2005
EU589992	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog0298/2005
EU590031	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog0480/2007
EU590033	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog1086/2006
EU590012	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog1419/2007
EU590005	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog1772/2005
EU589993	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog2236/2005
EU589994	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog2239/2005
EU590011	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog2844/2005
EU590016	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3231/2007
EU590020	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3381/2006
EU590027	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3563/2006
EU589996	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3653/2007
EU590010	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3763/2005
EU590017	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3861/2005
EU590015	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog3946/2007
EU589962	Canis familiaris	brain	ME1a	Cosmopolitan	-	-	-	-	Dog3959/2007
EU590023	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog4209/2005
EU590025	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog4836/2005
EU590024	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog4861/2005
EU590000	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog5745/2005
EU590034	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog6853/2007
EU590022	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog6867/2005
EU590028	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7134/2005
EU590029	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7413/2005
EU590026	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7414/2005
EU590032	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7828/2007
EU590018	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7901/2007
EU590014	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7923/2007
EU590013	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog7989/2007
EU589999	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog8199/2005
EU590036	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog9069/2006
EU589959	Canis familiaris	brain	ME1a	Cosmopolitan	-	-	-	-	Dog9445/2006
EU590021	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog9553/2005
EU590001	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	Dog9613/2005
EU590038	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	DogT4/2000
EU590039	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	DogT6/2000
EU590040	Canis familiaris	brain	ME2	Cosmopolitan	-	-	-	-	DogT7/2000
AB294356	Canis familiaris	brain of Canis familiaris	SEA2a	Asian	-	-	-	-	CHdg10
AB294348	Canis familiaris	brain of Canis familiaris	SEA1b	Asian	-	-	-	-	CHdg2
AB294350	Canis familiaris	brain of Canis familiaris	SEA2a	Asian	-	-	-	-	CHdg4
AB294351	Canis familiaris	brain of Canis familiaris	SEA2a	Asian	-	-	-	-	CHdg5
AB294352	Canis familiaris	brain of Canis familiaris	SEA1b	Asian	-	-	-	-	CHdg6
AB294354	Canis familiaris	brain of Canis familiaris	SEA2a	Asian	-	-	-	-	CHdg8
LC068935	Canis familiaris	brain of dog	SEA4	Asian	-	-	2013	-	RV/R3.PHL/2013/TRa-551
AY218998	Canis familiaris	brain of dog with dumb rabies	SEA3	Asian	-	-	-	-	D51
AY218996	Canis familiaris	brain of dog with furious rabies	SEA3	Asian	-	-	-	-	D23
AY218997	Canis familiaris	brain of dog with furious rabies	SEA3	Asian	-	-	-	-	D48
DQ074978	Canis familiaris	brain of mad dog in the street	Vac	Cosmopolitan	-	-	-	-	-
AB516761	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg10
AB516762	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg12
AB516763	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg13
AB516764	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg14
AB516765	Canis familiaris	canine	-	Asian	-	-	-	-	CHdg15
AB516766	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg19
AB516754	Canis familiaris	canine	SEA1b	Asian	-	-	-	-	CHdg2
AB516755	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg3
AB516756	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg4
AB516757	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg5
AB516758	Canis familiaris	canine	SEA1b	Asian	-	-	-	-	CHdg6
AB516759	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg7
AB516760	Canis familiaris	canine	SEA2a	Asian	-	-	-	-	CHdg8
AB516767	Canis familiaris	canine	AF1b	Cosmopolitan	-	-	-	-	UGdg1
AB516768	Canis familiaris	canine	AF1b	Cosmopolitan	-	-	-	-	UGdg11
AB516769	Canis familiaris	canine	-	Asian	-	-	-	-	UGdg3
AB516770	Canis familiaris	canine	AM3a	Cosmopolitan	-	-	-	-	UGdg5
AY561795	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	-
AY561773	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3244mxdg98
AY561790	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3251grodg00
AY561772	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3260dfdg00
AY561775	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3267mxdg01
AY561789	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3278grodg99
AY561782	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3279puedg01
AY561781	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3281puedg00
AY561774	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3284mxdg99
AY561791	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3285grodg01
AY561792	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3287grodg01
AY561770	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3288michdg00
AY561771	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3299dfdg99
AY561786	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3302tlxdg01
AY561787	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3303tlxdg02
AY561768	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3313jaldg02
AY561788	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	3325hgodg02
AY561794	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4476yucdg99
AY561796	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4481yucdg01
AY561793	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4486chisdg02
AY561783	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4491mxdg02
AY561779	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4511mxdg02
AY561784	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4513puedg02
AY561776	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4514mxdg02
AY561778	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4516mxdg02
AY561785	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4519puedg02
AY561767	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4815slpdg99
AY561780	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4822puedg96
AY561766	Canis familiaris	Canis familiaris	AM2a	Cosmopolitan	-	-	-	-	4823slpdg99
AY102999	Canis familiaris	China/Dog	SEA2a	Asian	-	-	-	-	Rv341
AB093427	Canis familiaris	dog	SEA3	Asian	-	-	-	-	18NE
AB093428	Canis familiaris	dog	SEA3	Asian	-	-	-	-	18NE
AB093429	Canis familiaris	dog	SEA3	Asian	-	-	-	-	19NE
AB093430	Canis familiaris	dog	SEA3	Asian	-	-	-	-	19NE
AB093431	Canis familiaris	dog	SEA3	Asian	-	-	-	-	20NE
AB093432	Canis familiaris	dog	SEA3	Asian	-	-	-	-	20NE
AB093433	Canis familiaris	dog	SEA3	Asian	-	-	-	-	21NE
AB093434	Canis familiaris	dog	SEA3	Asian	-	-	-	-	21NE
AB093435	Canis familiaris	dog	SEA3	Asian	-	-	-	-	22NE
AB093436	Canis familiaris	dog	SEA3	Asian	-	-	-	-	22NE
AB093437	Canis familiaris	dog	SEA3	Asian	-	-	-	-	24NE
AB093438	Canis familiaris	dog	SEA3	Asian	-	-	-	-	24NE
AB093439	Canis familiaris	dog	SEA3	Asian	-	-	-	-	25NE
AB093440	Canis familiaris	dog	SEA3	Asian	-	-	-	-	25NE
AB093441	Canis familiaris	dog	SEA3	Asian	-	-	-	-	26NE
AB093442	Canis familiaris	dog	SEA3	Asian	-	-	-	-	26NE
AB093443	Canis familiaris	dog	SEA3	Asian	-	-	-	-	27NE
AB093444	Canis familiaris	dog	SEA3	Asian	-	-	-	-	27NE
AB093445	Canis familiaris	dog	SEA3	Asian	-	-	-	-	28NE
AB093446	Canis familiaris	dog	SEA3	Asian	-	-	-	-	28NE
AB093447	Canis familiaris	dog	SEA3	Asian	-	-	-	-	29NE
AB093448	Canis familiaris	dog	SEA3	Asian	-	-	-	-	29NE
AB093449	Canis familiaris	dog	SEA3	Asian	-	-	-	-	30NE
AB093450	Canis familiaris	dog	SEA3	Asian	-	-	-	-	30NE
AB093451	Canis familiaris	dog	SEA3	Asian	-	-	-	-	31NE
AB093452	Canis familiaris	dog	SEA3	Asian	-	-	-	-	31NE
AB093453	Canis familiaris	dog	SEA3	Asian	-	-	-	-	32NE
AB093454	Canis familiaris	dog	SEA3	Asian	-	-	-	-	32NE
AB093455	Canis familiaris	dog	SEA3	Asian	-	-	-	-	33NE
AB093456	Canis familiaris	dog	SEA3	Asian	-	-	-	-	33NE
AB093457	Canis familiaris	dog	SEA3	Asian	-	-	-	-	34NE
AB093458	Canis familiaris	dog	SEA3	Asian	-	-	-	-	34NE
AB093459	Canis familiaris	dog	SEA3	Asian	-	-	-	-	35NE
AB093460	Canis familiaris	dog	SEA3	Asian	-	-	-	-	35NE
AB093461	Canis familiaris	dog	SEA3	Asian	-	-	-	-	36NE
AB093462	Canis familiaris	dog	SEA3	Asian	-	-	-	-	36NE
AB093463	Canis familiaris	dog	SEA3	Asian	-	-	-	-	37NE
AB093464	Canis familiaris	dog	SEA3	Asian	-	-	-	-	37NE
AB093465	Canis familiaris	dog	SEA3	Asian	-	-	-	-	38NE
AB093466	Canis familiaris	dog	SEA3	Asian	-	-	-	-	38NE
AB093467	Canis familiaris	dog	SEA3	Asian	-	-	-	-	39NE
AB093468	Canis familiaris	dog	SEA3	Asian	-	-	-	-	39NE
AB093469	Canis familiaris	dog	SEA3	Asian	-	-	-	-	40NE
AB093470	Canis familiaris	dog	SEA3	Asian	-	-	-	-	40NE
AB093471	Canis familiaris	dog	SEA3	Asian	-	-	-	-	41NE
AB093472	Canis familiaris	dog	SEA3	Asian	-	-	-	-	41NE
AB263316	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRct116
AB263292	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg1
AB110658	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg10
AB263313	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg101
AB276308	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg101
AB263314	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg102
AB263297	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg11
AB263317	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg117
AB110659	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg12
AB263319	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg121
AB263320	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg125
AB263321	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg126
AB263322	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg127
AB263323	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg128
AB263298	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg13
AB247410	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg15
AB263300	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg19
AB247411	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg2
AB263304	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg24
AB263308	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg29
AB247412	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg317
AB263324	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg317
AB247413	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg321
AB263326	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg321
AB247414	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg322
AB263327	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg322
AB247415	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg325
AB263328	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg325
AB247416	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg331
AB263329	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg331
AB247417	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg334
AB263331	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg334
AB247418	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg335
AB263332	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg335
AB263333	Canis familiaris	dog	DR	Bats	-	-	-	-	BRdg339
AB263334	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg603
AB263335	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg640
AB263336	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg642
AB263337	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg643
AB263338	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg646
AB263339	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg652
AB247445	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg657
AB263340	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg657
AB247446	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg659
AB263341	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg659
AB247447	Canis familiaris	Dog	AM3a	Cosmopolitan	-	-	-	-	BRdg661
AB263342	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg661
AB247449	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg665
AB263343	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg665
AB247419	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg666
AB263344	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg666
AB247420	Canis familiaris	Dog	AM3b	Cosmopolitan	-	-	-	-	BRdg669
AB263345	Canis familiaris	dog	AM3b	Cosmopolitan	-	-	-	-	BRdg669
AB263294	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg7
AB263309	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg77
AB263295	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg8
AB263310	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg96
AB263311	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg97
AB263312	Canis familiaris	dog	AM3a	Cosmopolitan	-	-	-	-	BRdg98
AB505882	Canis familiaris	dog	SEA1b	Asian	-	-	2007	-	CHdg11
AB505883	Canis familiaris	dog	SEA2a	Asian	-	-	2007	-	CHdg12
AB505884	Canis familiaris	dog	SEA2a	Asian	-	-	2007	-	CHdg13
AB505885	Canis familiaris	dog	SEA2a	Asian	-	-	2007	-	CHdg14
AB505886	Canis familiaris	dog	SEA1b	Asian	-	-	2007	-	CHdg15
AB505887	Canis familiaris	dog	SEA1b	Asian	-	-	2007	-	CHdg17
AB505888	Canis familiaris	dog	SEA1b	Asian	-	-	2007	-	CHdg18
AB505889	Canis familiaris	dog	SEA2a	Asian	-	-	2007	-	CHdg19
AB505890	Canis familiaris	dog	SEA1b	Asian	-	-	2007	-	CHdg20
AF533819	Canis familiaris	dog	-	Bats	-	-	-	-	CIDG3547
AF533820	Canis familiaris	dog	-	Bats	-	-	-	-	CIDG3549
AF533821	Canis familiaris	dog	LC	Bats	-	-	-	-	CIDG3587
AF533822	Canis familiaris	dog	TB2	Bats	-	-	-	-	CIDG3599
AF533823	Canis familiaris	dog	TB2	Bats	-	-	-	-	CIDG3975
AB154215	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	FL01-06
AB154216	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	FL01-08
AB154222	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	FL01-27
AB154217	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	FL02-10
AB154218	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	FL97-01
AB299032	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM1
AB299042	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM1
AB299039	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM10
AB299046	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM10
AB299033	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM2
AB299043	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM2
AB299034	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM5
AB299035	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM6
AB299044	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM6
AB299036	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM7
AB299037	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM8
AB299038	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM9
AB299045	Canis familiaris	dog	SEA3	Asian	-	-	-	-	HCM9
AB154220	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	JA97-05
AB154221	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	KL00-18
AB154223	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	KL97-03
AB052666	Canis familiaris	dog	SEA3	Asian	-	-	-	-	No.33
AB116577	Canis familiaris	dog	SEA4	Asian	-	-	-	-	PHI103
AB116581	Canis familiaris	dog	SEA4	Asian	-	-	-	-	PHI103
AB116578	Canis familiaris	dog	SEA4	Asian	-	-	-	-	PHI114
AB116582	Canis familiaris	dog	SEA4	Asian	-	-	-	-	PHI114
AB154225	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC00-12
AB154226	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC00-36
AB154227	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC00-45
AB154228	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC01-63
AB154229	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC02-79
AB154230	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC02-83
AB154231	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC02-89
AB154243	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC02-90
AB154232	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC02-91
AB154233	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SC97-01
AB154234	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SN00-03
AB154235	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SN00-14
AB115921	Canis familiaris	dog	SEA1b	Asian	-	-	-	-	SN01-23
AB041966	Canis familiaris	dog	-	Indian-Sub	-	-	-	-	SRL1060
AB154237	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SS01-13
AB154238	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SS01-21
AB154239	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SW01-11
AB154240	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SW02-22
AB154241	Canis familiaris	Dog	SEA1b	Asian	-	-	-	-	SW97-04
AB178895	Canis familiaris	dog	SEA3	Asian	-	-	-	-	THA-Abha
AB178896	Canis familiaris	dog	SEA3	Asian	-	-	-	-	THA-AY
AB178892	Canis familiaris	dog	SEA3	Asian	-	-	-	-	THA1013
AB178893	Canis familiaris	dog	SEA3	Asian	-	-	-	-	THA1015
AB178894	Canis familiaris	dog	SEA3	Asian	-	-	-	-	THA1017
AB505874	Canis familiaris	dog	AF1b	Cosmopolitan	-	-	2003	-	UGdg1
AB505879	Canis familiaris	dog	AF1a	Cosmopolitan	-	-	2003	-	UGdg10
AB505880	Canis familiaris	dog	AF1b	Cosmopolitan	-	-	2003	-	UGdg11
AB505877	Canis familiaris	dog	AF1b	Cosmopolitan	-	-	2003	-	UGdg8
AB505878	Canis familiaris	dog	AF1b	Cosmopolitan	-	-	2003	-	UGdg9
AB116575	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN3
AB116579	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN3
AB299040	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN3
AB116576	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN52
AB116580	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN52
AB299041	Canis familiaris	dog	SEA3	Asian	-	-	-	-	VN52
AB284513	Canis familiaris	dog	AF1b	Cosmopolitan	APR	27	2005	-	ZAMRAV05/06
AB284512	Canis familiaris	dog	AF1b	Cosmopolitan	AUG	2	2005	-	ZAMRAV08/05
AB284508	Canis familiaris	dog	AF1b	Cosmopolitan	SEP	5	2005	-	ZAMRAV09/05
AB284511	Canis familiaris	dog	AF1b	Cosmopolitan	MAR	31	2000	-	ZAMRAV20/00
AB284514	Canis familiaris	dog	AF1b	Cosmopolitan	SEP	13	2004	-	ZAMRAV23/04
AB284510	Canis familiaris	dog	AF1b	Cosmopolitan	OCT	12	1999	-	ZAMRAV30/99
AB284507	Canis familiaris	dog	AF1b	Cosmopolitan	NOV	17	2000	-	ZAMRAV31
AB284509	Canis familiaris	dog	AF1b	Cosmopolitan	OCT	25	2000	-	ZAMRAV51/00
AB285215	Canis familiaris	dog	AF1b	Cosmopolitan	OCT	25	2000	-	ZAMRAV51/00
AB428313	Canis familiaris	dog brain	SEA2a	Asian	MAY	11	2004	-	CHbv7
AB428316	Canis familiaris	dog brain	SEA2a	Asian	NOV	9	2005	-	CHdg10
AB428325	Canis familiaris	dog brain	SEA2a	Asian	NOV	9	2006	-	CHdg10
AB428332	Canis familiaris	dog brain	SEA2a	Asian	NOV	9	2006	-	CHdg10
AB428308	Canis familiaris	dog brain	SEA1b	Asian	OCT	5	2005	-	CHdg11
AB428317	Canis familiaris	dog brain	SEA1b	Asian	OCT	5	2005	-	CHdg2
AB428326	Canis familiaris	dog brain	SEA1b	Asian	OCT	5	2005	-	CHdg2
AB428310	Canis familiaris	dog brain	SEA2a	Asian	MAY	11	2004	-	CHdg4
AB428319	Canis familiaris	dog brain	SEA2a	Asian	OCT	5	2005	-	CHdg4
AB428329	Canis familiaris	dog brain	SEA2a	Asian	MAY	11	2004	-	CHdg4
AB428311	Canis familiaris	dog brain	SEA2a	Asian	OCT	5	2005	-	CHdg5
AB428320	Canis familiaris	dog brain	SEA2a	Asian	OCT	5	2005	-	CHdg5
AB428328	Canis familiaris	dog brain	SEA2a	Asian	OCT	5	2005	-	CHdg5
AB428312	Canis familiaris	dog brain	SEA1b	Asian	FEB	10	2003	-	CHdg6
AB428321	Canis familiaris	dog brain	SEA1b	Asian	FEB	10	2003	-	CHdg6
AB428330	Canis familiaris	dog brain	SEA1b	Asian	FEB	10	2003	-	CHdg6
